Baltimore Classification	Type	Genome Info	Family	Genus	Species	Organism Name	Organism Groups	Assembly	Level	Size(Mb)	GC%	Host	CDS	Neighbors	Release Date	RefSeq FTP	Type	Reference Source Information	Observation																																																																																																																																																																																																																																												
IV	(+)ssRNA	Monopartite	Astroviridae	NA	Human astrovirus BF34	Human astrovirus BF34	Viruses;Other;Astroviridae	GCA_000923215.1	Complete	0.006577	43.8	human	3		2014-07-08T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/923/215/GCF_000923215.1_ViralProj255104																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Caliciviridae	Norovirus	Norwalk virus	Norwalk virus	Viruses;Other;Caliciviridae	GCA_000864005.1	Complete	0.007654	48	"human,vertebrates"	3	1519	1993-08-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/864/005/GCF_000864005.1_ViralProj15520	Reference	"NCBI, ViralZone"																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Caliciviridae	Sapovirus	Sapporo virus	Sapovirus Hu/Dresden/pJG-Sap01/DE	Viruses;Other;Caliciviridae	GCA_000854265.1	Complete	0.007429	50.6	"human,vertebrates"	3	162	2004-09-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/265/GCF_000854265.1_ViralProj15048	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Coronaviridae	Alphacoronavirus	Human coronavirus 229E	Human coronavirus 229E	Viruses;Other;Coronaviridae	GCA_000853505.1	Complete	0.027317	38.3	"human,vertebrates"	8	70	2001-01-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/853/505/GCF_000853505.1_ViralProj14913	Reference	Uniprot																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Coronaviridae	Alphacoronavirus	Human coronavirus NL63 strain:Amsterdam I	Human coronavirus NL63 strain:Amsterdam I	Viruses;Other;Coronaviridae	GCA_000853865.1	Complete	0.027553	34.5	human	6	66	2004-03-17T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/853/865/GCF_000853865.1_ViralProj14960																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Coronaviridae	Betacoronavirus	Betacoronavirus England 1	Betacoronavirus England 1	Viruses;Other;Coronaviridae	GCA_002816195.1	Complete	0.030111	41.2	"human,vertebrates"	10	568	2012-12-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/195/GCF_002816195.1_ASM281619v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Coronaviridae	Betacoronavirus	Human betacoronavirus 2c EMC/2012 (MERS-CoV)	Human betacoronavirus 2c EMC/2012 (MERS-CoV)	Viruses;Other;Coronaviridae	GCA_000901155.1	Complete	0.030119	41.2	"human,vertebrates"	11	568	2012-09-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/901/155/GCF_000901155.1_ViralProj183710	Reference																																																																																																																																																																																																																																														
IV	(+)ssRNA	Monopartite	Coronaviridae	Betacoronavirus	Human coronavirus HKU1	Human coronavirus HKU1	Viruses;Other;Coronaviridae	GCA_000858765.1	Complete	0.029926	32.1	human	8	46	2004-12-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/858/765/GCF_000858765.1_ViralProj15139																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Coronaviridae	Betacoronavirus	Human coronavirus OC43 strain:ATCC VR-759	Human coronavirus OC43 strain:ATCC VR-759	Viruses;Other;Coronaviridae	GCA_003972325.1	Complete	0.030741	36.8	"human,vertebrates"	8	309	2004-08-04T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/972/325/GCF_003972325.1_ASM397232v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Coronaviridae	Betacoronavirus	SARS coronavirus Tor2 (SARS-CoV)	SARS coronavirus Tor2 (SARS-CoV)	Viruses;Other;Coronaviridae	GCA_000864885.1	Complete	0.029751	40.8	"human,vertebrates"	14	21511	2003-04-14T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/864/885/GCF_000864885.1_ViralProj15500	Reference																																																																																																																																																																																																																																														
IV	(+)ssRNA	Monopartite	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)	Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)	Viruses;Other;Coronaviridae	GCA_009858895.2	Complete	0.029903	38	"human,vertebrates"	12	21511	2020-01-12T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/858/895/GCF_009858895.2_ASM985889v3	Reference																																																																																																																																																																																																																																														
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Alkhumra hemorrhagic fever virus	Alkhumra hemorrhagic fever virus	Viruses;Other;Flaviviridae	GCA_000863365.1	Complete	0.010685	54.1	"human,invertebrates,vertebrates"	1		2001-09-29T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/365/GCF_000863365.1_ViralProj15387																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Aroa virus	Bussuquara virus	Viruses;Other;Flaviviridae	GCA_000872985.1	Complete	0.010815	49.9	"human,invertebrates,vertebrates"	1	7	2005-10-30T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/872/985/GCF_000872985.1_ViralProj18847																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Dengue virus	Dengue virus 1	Viruses;Other;Flaviviridae	GCA_000862125.1	Complete	0.010735	46.7	"human,invertebrates,vertebrates"	1	5649	1997-02-28T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/125/GCF_000862125.1_ViralProj15306	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Dengue virus	Dengue virus 2 Thailand/16681/84	Viruses;Other;Flaviviridae	GCA_000871845.1	Complete	0.010723	45.8	"human,invertebrates,vertebrates"	1	5649	1993-08-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/845/GCF_000871845.1_ViralProj20183	Reference	NCBI																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Dengue virus	Dengue virus 3	Viruses;Other;Flaviviridae	GCA_000866625.1	Complete	0.010707	46.7	"human,invertebrates,vertebrates"	1	5649	1993-08-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/625/GCF_000866625.1_ViralProj15598																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Dengue virus	Dengue virus 4	Viruses;Other;Flaviviridae	GCA_000865065.1	Complete	0.010649	47.1	"human,invertebrates,vertebrates"	1	5649	2001-01-03T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/065/GCF_000865065.1_ViralProj15599																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Ilheus virus	Ilheus virus	Viruses;Other;Flaviviridae	GCA_000870465.1	Complete	0.010755	52.3	"human,invertebrates"	1	3	2005-10-30T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/870/465/GCF_000870465.1_ViralProj18845																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Japanese encephalitis virus	Japanese encephalitis virus	Viruses;Other;Flaviviridae	GCA_000862145.1	Complete	0.010976	51.4	"human,invertebrates,vertebrates"	2	358	1993-08-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/145/GCF_000862145.1_ViralProj15310	Reference	NCBI																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Kyasanur Forest disease virus	Kyasanur Forest disease virus	Viruses;Other;Flaviviridae	GCA_002820625.1	Complete	0.010376	55.2	"human,invertebrates,vertebrates"	1	28	2006-07-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/820/625/GCF_002820625.1_ASM282062v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Langat virus	Langat virus	Viruses;Other;Flaviviridae	GCA_000860805.1	Complete	0.010943	54.3	"human,invertebrates,vertebrates"	1	4	2000-06-11T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/805/GCF_000860805.1_ViralProj15370																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Louping ill virus	Louping ill virus	Viruses;Other;Flaviviridae	GCA_000863165.1	Complete	0.010871	54.9	"human,invertebrates,vertebrates"	1	25	1997-04-29T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/165/GCF_000863165.1_ViralProj15343																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Mogiana tick virus	Mogiana tick virus	Viruses;Other;Flaviviridae	GCA_002037735.1	Complete	0.011025	53.8244	"human,invertebrates,vertebrates"	4	67	2014-03-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/037/735/GCF_002037735.1_ViralMultiSegProj379595																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Murray Valley encephalitis virus	Murray Valley encephalitis virus	Viruses;Other;Flaviviridae	GCA_000863565.1	Complete	0.011014	48.7	"human,invertebrates,vertebrates"	2	17	1999-11-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/565/GCF_000863565.1_ViralProj15430	Reference	NCBI																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Omsk hemorrhagic fever virus	Omsk hemorrhagic fever virus	Viruses;Other;Flaviviridae	GCA_000855505.1	Complete	0.010787	53.6	"human,invertebrates,vertebrates"	1	3	2003-08-08T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/855/505/GCF_000855505.1_ViralProj14995																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Powassan virus	Powassan virus	Viruses;Other;Flaviviridae	GCA_000860485.1	Complete	0.010839	53.3	"human,invertebrates,vertebrates"	1	25	1993-06-14T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/860/485/GCF_000860485.1_ViralProj15304																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Rio Bravo virus	Rio Bravo virus	Viruses;Other;Flaviviridae	GCA_000862425.1	Complete	0.01014	43.2		1	1	2000-03-03T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/425/GCF_000862425.1_ViralProj15368			Missing human host																																																																																																																																																																																																																																												
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Rocio virus	Rocio virus	Viruses;Other;Flaviviridae	GCA_004128575.1	Complete	0.010794	52.3	"human,invertebrates"	1	3	2005-10-30T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/128/575/GCF_004128575.1_ASM412857v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Saint Louis encephalitis virus	Saint Louis encephalitis virus	Viruses;Other;Flaviviridae	GCA_000866785.1	Complete	0.01094	49.7	"human,invertebrates,vertebrates"	1	42	2005-11-04T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/866/785/GCF_000866785.1_ViralProj16150																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Sepik virus	Sepik virus	Viruses;Other;Flaviviridae	GCA_000868725.1	Complete	0.010793	47.3	invertebrates	1	2	2006-12-19T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/868/725/GCF_000868725.1_ViralProj18513			Missing human host																																																																																																																																																																																																																																												
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Spondweni virus	Spondweni virus	Viruses;Other;Flaviviridae	GCA_001610725.1	Complete	0.01029	52.3	"human,invertebrates"	1	15	2009-09-16T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/725/GCF_001610725.1_ViralProj311759	Reference	NCBI																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Tembusu virus	Tembusu virus	Viruses;Other;Flaviviridae	GCA_000894755.1	Complete	0.01099	49	"human,invertebrates,vertebrates"	1	144	2011-07-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/894/755/GCF_000894755.1_ViralProj70159																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Tick-borne encephalitis virus	Tick-borne encephalitis virus	Viruses;Other;Flaviviridae	GCA_000863125.1	Complete	0.011141	53.8	"human,invertebrates,vertebrates"	1	225	1995-09-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/125/GCF_000863125.1_ViralProj15335																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Usutu virus	Usutu virus	Viruses;Other;Flaviviridae	GCA_000854945.1	Complete	0.011066	51	"human,invertebrates,vertebrates"	2	275	2004-10-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/854/945/GCF_000854945.1_ViralProj15047																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Wesselsbron virus	Wesselsbron virus	Viruses;Other;Flaviviridae	GCA_000883915.1	Complete	0.010814	47.7	"human,invertebrates,vertebrates"	1	6	2009-06-01T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/883/915/GCF_000883915.1_ViralProj38295																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	West Nile virus	West Nile virus	Viruses;Other;Flaviviridae	GCA_000861085.1	Complete	0.010962	51.1	"human,invertebrates,vertebrates"	2	1886	1993-02-16T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/085/GCF_000861085.1_ViralProj15431	Reference	NCBI																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Yellow fever virus	Yellow fever virus	Viruses;Other;Flaviviridae	GCA_000857725.1	Complete	0.010862	49.7	"human,invertebrates,vertebrates"	1	225	1986-11-18T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/725/GCF_000857725.1_ViralProj15284	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Flavivirus	Zika virus	Zika virus	Viruses;Other;Flaviviridae	GCA_000882815.3	Complete	0.010794	50.9	"human,invertebrates,vertebrates"	1	767	2005-10-30T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/882/815/GCF_000882815.3_ViralProj36615	Reference	"NCBI, ViralZone"																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus B	Hepacivirus B	Viruses;Other;Flaviviridae	GCA_002820785.1	Complete	0.009143	50.5	human	1		1995-04-12T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/820/785/GCF_002820785.1_ASM282078v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus (isolate EUH1480) Genotype: 5	Viruses;Other;Flaviviridae	GCA_000873605.1	Complete	0.009343	57.1	"human,vertebrates"	2	2287	1997-09-12T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/873/605/GCF_000873605.1_ViralProj20935																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus (isolate NZL1) Genotype: 3	Viruses;Other;Flaviviridae	GCA_000874285.1	Complete	0.009456	55.6	"human,vertebrates"	2	2287	1994-07-21T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/874/285/GCF_000874285.1_ViralProj20941																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus (isolate Th580) Genotype: 6	Viruses;Other;Flaviviridae	GCA_000872025.1	Complete	0.009628	55.4	"human,vertebrates"	2	2287	1998-09-08T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/872/025/GCF_000872025.1_ViralProj20939																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus ED43 Genotype: 4	Viruses;Other;Flaviviridae	GCA_000874265.1	Complete	0.009355	56.2	"human,vertebrates"	2	2287	1997-07-09T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/874/265/GCF_000874265.1_ViralProj20933																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus QC69 Genotype: 7	Viruses;Other;Flaviviridae	GCA_001712785.1	Complete	0.009443	56.8	"human,vertebrates"	2	2287	2007-11-07T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/712/785/GCF_001712785.1_ViralProj339556	Reference	NCBI																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus subtype 1a	Viruses;Other;Flaviviridae	GCA_000861845.1	Complete	0.009646	58.2	"human,vertebrates"	2	2287	1997-08-09T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/845/GCF_000861845.1_ViralProj15432	Reference	"NCBI, ViralZone"																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepacivirus C	Hepatitis C virus subtype 2a	Viruses;Other;Flaviviridae	GCA_000871165.1	Complete	0.009711	56.9	"human,vertebrates"	2	2287	1999-10-05T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/165/GCF_000871165.1_ViralProj20937																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Hepacivirus	Hepatitis GB virus B	Hepatitis GB virus B	Viruses;Other;Flaviviridae	GCA_000862405.1	Complete	0.009399	50.6	"human,vertebrates"	1	8	1999-10-07T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/405/GCF_000862405.1_ViralProj15364	Reference	NCBI																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	NA	Jingmen tick virus	Jingmen tick virus	Viruses;Other;Flaviviridae	GCA_000919875.1	Complete	0.011579	52.9358	"human,invertebrates,vertebrates"	5	67	2014-05-13T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/919/875/GCF_000919875.1_ViralMultiSegProj247973																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Pegivirus	GB virus C	GB virus C (Pegivirus C)	Viruses;Other;Flaviviridae	GCA_000862005.1	Complete	0.009392	59.1	"human,vertebrates"	1	84	1996-01-27T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/005/GCF_000862005.1_ViralProj15467																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Pegivirus	Human hepegivirus	Human hepegivirus	Viruses;Other;Flaviviridae	GCA_002821385.1	Complete	0.009538	53.6	human	1	18	2015-09-20T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/821/385/GCF_002821385.1_ASM282138v1																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Pegivirus	Human pegivirus 2	Human pegivirus 2	Viruses;Other;Flaviviridae	GCA_001310135.2	Complete	0.009867	53.9	human	1	18	2015-10-04T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/310/135/GCF_001310135.2_ViralProj298087																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Flaviviridae	Pegivirus	Pegivirus A	Pegivirus A	Viruses;Other;Flaviviridae	GCA_000847425.1	Complete	0.00955	57.9	"human,vertebrates"	1	68	1997-09-23T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/847/425/GCF_000847425.1_ViralProj14647	Reference	"NCBI, ViralZone"																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Flaviviridae	Pegivirus	Simian pegivirus	Simian pegivirus	Viruses;Other;Flaviviridae	GCA_000921975.1	Complete	0.009525	56.6	"human,vertebrates"	1	68	2014-06-20T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/921/975/GCF_000921975.1_ViralProj253339																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Hepeviridae	Orthohepevirus	Hepatitis E virus	Hepatitis E virus (Orthohepevirus A)	Viruses;Other;Hepeviridae	GCA_000861105.1	Complete	0.007176	57.9	"human,vertebrates"	3	595	1993-08-02T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/105/GCF_000861105.1_ViralProj15435	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Matonaviridae	Rubivirus	Rubella virus	Rubella virus	Viruses;Other;Matonaviridae	GCA_000863025.1	Complete	0.009762	69.6	human	2	85	1993-08-03T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/863/025/GCF_000863025.1_ViralProj15315	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Cardiovirus	Cardiovirus A	Encephalomyocarditis virus	Viruses;Other;Picornaviridae	GCA_000862985.1	Complete	0.007835	49.5	"human,vertebrates"	2	35	1992-02-25T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/862/985/GCF_000862985.1_ViralProj15307	Reference	ViralZone																																																																																																																																																																																																																																													
IV	(+)ssRNA	Monopartite	Picornaviridae	Cardiovirus	Cardiovirus B	Theiler's murine encephalomyeltits virus GDVII	Viruses;Other;Picornaviridae	GCA_000861185.1	Complete	0.008101	49.1	"human,vertebrates"	3	55	1990-11-14T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/861/185/GCF_000861185.1_ViralProj15292																																																																																																																																																																																																																																															
IV	(+)ssRNA	Monopartite	Picornaviridae	Cardiovirus	Cardiovirus D	Saffold virus	Viruses;Other;Picornaviridae	GCA_000871545.1	Complete	0.008115	42.9	"human,vertebrates"	2	55	2007-04-25T00:00:00Z	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/871/545/GCF_000871545.1_ViralProj19577																																																																																																																																																																																																																																															
